folder,role,dx,dy,distance_px,covariance_dn2,normalized_acf,direction
4,calibration,13,13,18.384776310850235,191.12989139702648,0.011354926325437909,diagonal_main
4,calibration,-14,14,19.79898987322333,88.97862051867956,0.005286173047783267,diagonal_anti
4,calibration,0,14,14.0,532.672753016428,0.03164580810390092,vertical
4,calibration,14,14,19.79898987322333,164.13575146430577,0.009751218669277048,diagonal_main
4,calibration,-15,15,21.213203435596427,69.76106099203372,0.004144467943548714,diagonal_anti
4,calibration,0,15,15.0,529.2823815651119,0.03144438791910317,vertical
4,calibration,15,15,21.213203435596427,150.48008129862754,0.008939942486769003,diagonal_main
4,calibration,-16,16,22.627416997969522,57.17963703577772,0.003397012163355616,diagonal_anti
4,calibration,0,16,16.0,522.326094772369,0.03103111857932139,vertical
4,calibration,16,16,22.627416997969522,131.1280362057425,0.00779024766577524,diagonal_main
5,evaluation,-16,-16,22.627416997969522,2422.968722554831,0.031167055426953312,diagonal_main
5,evaluation,0,-16,16.0,9016.035517562097,0.11597478584492069,vertical
5,evaluation,16,-16,22.627416997969522,1117.0901678889347,0.014369319279857575,diagonal_anti
5,evaluation,-15,-15,21.213203435596427,2682.208403791643,0.034501699179784746,diagonal_main
5,evaluation,0,-15,15.0,9123.137714621687,0.11735245947356951,vertical
5,evaluation,15,-15,21.213203435596427,1325.16463368373,0.017045816235015165,diagonal_anti
5,evaluation,-14,-14,19.79898987322333,2999.665569667425,0.038585204258670514,diagonal_main
5,evaluation,0,-14,14.0,9198.935963782582,0.11832746513950013,vertical
5,evaluation,14,-14,19.79898987322333,1626.1552888662852,0.02091750980899501,diagonal_anti
5,evaluation,-13,-13,18.384776310850235,3371.5954998397647,0.043369401694121255,diagonal_main
5,evaluation,0,-13,13.0,9307.9580937074,0.11972983518848224,vertical
5,evaluation,13,-13,18.384776310850235,1970.131814501808,0.025342137886219626,diagonal_anti
5,evaluation,-12,-12,16.97056274847714,3802.7934226340285,0.04891597331702913,diagonal_main
5,evaluation,0,-12,12.0,9413.83930809801,0.12109180311108325,vertical
5,evaluation,12,-12,16.97056274847714,2352.6136729966024,0.03026206655576588,diagonal_anti
5,evaluation,-11,-11,15.556349186104045,4303.035008954308,0.05535066523136455,diagonal_main
5,evaluation,0,-11,11.0,9553.171003494563,0.12288405021387575,vertical
5,evaluation,11,-11,15.556349186104045,2823.998836557704,0.036325573436144044,diagonal_anti
5,evaluation,-10,-10,14.142135623730951,4852.024338985614,0.06241240759667669,diagonal_main
5,evaluation,0,-10,10.0,9653.350067986357,0.12417267042038997,vertical
5,evaluation,10,-10,14.142135623730951,3394.5659486356753,0.04366487445204,diagonal_anti
5,evaluation,-9,-9,12.727922061357855,5490.034401643951,0.07061923866334406,diagonal_main
5,evaluation,0,-9,9.0,9812.701445408302,0.12622243407034509,vertical
5,evaluation,9,-9,12.727922061357855,4024.590035410978,0.051768980563709856,diagonal_anti
5,evaluation,-8,-8,11.313708498984761,6216.793194304033,0.07996765961571145,diagonal_main
5,evaluation,0,-8,8.0,9988.414591070528,0.12848266190536412,vertical
5,evaluation,8,-8,11.313708498984761,4787.807274538785,0.061586372663439845,diagonal_anti
5,evaluation,-7,-7,9.899494936611665,6992.524057087407,0.08994601656753984,diagonal_main
