heldout_folder,strategy,selected_candidate,pair_key,folder,condition_score,alpha_physical,threshold,low,high,psnr,ssim,residual_mean,residual_std,noisy_psnr,noisy_ssim,psnr_gain,ssim_gain,gradient_ratio_to_noisy
8,lofo_best_linear,linear_q40_q60,folder_8_frame_121,8,0.6334581084407909,1.0,,-0.5713771580269047,-0.273429003806539,53.08639860267638,0.9948193678234382,-0.00018802483100444078,0.002208573743700981,52.26664339736423,0.9936893392462443,0.8197552053121555,0.001130028577193909,0.935912294824325
8,lofo_best_linear,linear_q40_q60,folder_8_frame_131,8,0.6334581084407909,1.0,,-0.5713771580269047,-0.273429003806539,53.124711707674464,0.994840777485645,-8.834221080178395e-05,0.002205038210377097,52.27989280347139,0.9936872990985113,0.8448189042030734,0.001153478387133755,0.9355363296020922
8,lofo_best_linear,linear_q40_q60,folder_8_frame_141,8,0.6334581084407909,1.0,,-0.5713771580269047,-0.273429003806539,53.016538253602796,0.9947950074819883,-1.822225021896884e-05,0.002234388142824173,52.18171858760041,0.9936245682914311,0.8348196660023888,0.0011704391905572598,0.9352556776148252
8,lofo_best_linear,linear_q40_q60,folder_8_frame_151,8,0.6334581084407909,1.0,,-0.5713771580269047,-0.273429003806539,52.90109150228524,0.994769815725397,-0.00012775274808518589,0.0022607529535889626,52.10547012761823,0.9936265526344795,0.7956213746670073,0.0011432630909175012,0.935576531320281
8,lofo_best_linear,linear_q40_q60,folder_8_frame_161,8,0.6334581084407909,1.0,,-0.5713771580269047,-0.273429003806539,52.79886822104171,0.9947143618421515,-0.00017431983724236488,0.0022845251951366663,52.02877621625552,0.993582301501674,0.7700920047861857,0.0011320603404774143,0.9358154393439889
8,lofo_best_linear,linear_q40_q60,folder_8_frame_171,8,0.6334581084407909,1.0,,-0.5713771580269047,-0.273429003806539,52.78099736769454,0.994712267351472,-2.0177725673420355e-05,0.00229579652659595,51.9856887276744,0.9935392842974101,0.7953086400201386,0.0011729830540618824,0.9347923050668012
9,always_noisy,always_noisy,folder_9_frame_101,9,-0.21712945248088805,0.0,,,,56.39663116169323,0.9974051395091829,4.546955460682511e-05,0.001513465540483594,56.39663116169323,0.9974051395091829,0.0,0.0,1.0
9,always_noisy,always_noisy,folder_9_frame_111,9,-0.21712945248088805,0.0,,,,56.43112790665942,0.9974282452084318,3.710427336045541e-05,0.0015076900599524379,56.43112790665942,0.9974282452084318,0.0,0.0,1.0
9,always_noisy,always_noisy,folder_9_frame_121,9,-0.21712945248088805,0.0,,,,56.36895322563661,0.9973918512978286,4.621181869879365e-05,0.0015182779170572758,56.36895322563661,0.9973918512978286,0.0,0.0,1.0
9,always_noisy,always_noisy,folder_9_frame_131,9,-0.21712945248088805,0.0,,,,56.341203063997945,0.9973776190411449,-4.003927460871637e-05,0.0015233155572786927,56.341203063997945,0.9973776190411449,0.0,0.0,1.0
9,always_noisy,always_noisy,folder_9_frame_141,9,-0.21712945248088805,0.0,,,,56.34101595782279,0.9973789130064042,1.1332591611790122e-06,0.0015238740015774965,56.34101595782279,0.9973789130064042,0.0,0.0,1.0
9,always_noisy,always_noisy,folder_9_frame_151,9,-0.21712945248088805,0.0,,,,56.34755244010041,0.9973874222478191,7.567864940938307e-06,0.001522709266282618,56.34755244010041,0.9973874222478191,0.0,0.0,1.0
9,always_noisy,always_noisy,folder_9_frame_161,9,-0.21712945248088805,0.0,,,,56.300096195330624,0.9973595550456904,1.8193484720541164e-05,0.0015309624141082168,56.300096195330624,0.9973595550456904,0.0,0.0,1.0
9,always_noisy,always_noisy,folder_9_frame_171,9,-0.21712945248088805,0.0,,,,56.29510100463973,0.9973637868150717,2.260709516122006e-05,0.001531784306280315,56.29510100463973,0.9973637868150717,0.0,0.0,1.0
9,always_p99,always_p99,folder_9_frame_101,9,-0.21712945248088805,0.0,,,,56.422897328150995,0.9974256682152243,0.00010726873006206006,0.0015057605924084783,56.39663116169323,0.9974051395091829,0.02626616645776636,2.052870604141166e-05,0.994629797758301
9,always_p99,always_p99,folder_9_frame_111,9,-0.21712945248088805,0.0,,,,56.46072494331021,0.9974489079390214,9.89080363069661e-05,0.0014997588004916906,56.43112790665942,0.9974282452084318,0.02959703665079161,2.066273058964896e-05,0.9946378783607654
