source_pair_key,evidence,clean_path,clean_raw_min_dn,clean_raw_max_dn,clean_raw_mean_dn,clean_raw_std_dn,clean_raw_p1_dn,clean_raw_p50_dn,clean_raw_p99_dn,dark_mean_dn,dark_p50_dn,dark_to_clean_mean_ratio,pixel_dark_clean_ratio_p50,difference_mean_dn,difference_negative_ratio,difference_zero_ratio,difference_nonpositive_ratio,difference_positive_ratio,crop_top,crop_left,crop_size,warning
15ms_to_500ms_030,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621280030.tif,1.0,65535.0,17145.65284347534,7074.793521500718,7368.0,15255.0,39653.0,27404.98828125,27395.421875,1.5983636512084622,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9877433776855469,0.012256622314453125,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_031,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621280031.tif,1.0,65535.0,17134.12738442421,7074.959360894783,7349.0,15252.0,39702.0,27404.98828125,27395.421875,1.5994388080809137,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9878120422363281,0.012187957763671875,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_032,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621290032.tif,1.0,65535.0,17050.7756626606,7053.296259433594,7332.0,15170.0,39608.0,27404.98828125,27395.421875,1.607257571352841,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.988189697265625,0.011810302734375,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_033,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621290033.tif,1.0,65535.0,17054.373834371567,7054.412263006214,7307.0,15177.0,39551.0,27404.98828125,27395.421875,1.6069184683883084,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9878997802734375,0.0121002197265625,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_034,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621300034.tif,1.0,65535.0,17062.118443012238,7054.300791951284,7317.0,15184.0,39569.0,27404.98828125,27395.421875,1.6061890774456362,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9878997802734375,0.0121002197265625,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_035,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621300035.tif,1.0,65535.0,17073.673310279846,7045.996651055659,7353.0,15196.0,39518.0,27404.98828125,27395.421875,1.6051020646359562,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9881820678710938,0.01181793212890625,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_036,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621310036.tif,1.0,65535.0,17036.73782682419,7049.810822224979,7294.0,15154.0,39500.0,27404.98828125,27395.421875,1.6085819104465584,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9881820678710938,0.01181793212890625,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_037,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621310037.tif,1.0,65535.0,17054.41353225708,7049.365277733164,7327.0,15173.0,39500.0,27404.98828125,27395.421875,1.606914727933366,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9881629943847656,0.011837005615234375,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_038,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621320038.tif,1.0,65535.0,17066.281447649002,7054.59532868447,7300.0,15189.0,39528.0,27404.98828125,27395.421875,1.6057972772402171,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.98809814453125,0.01190185546875,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_039,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621320039.tif,1.0,65535.0,17116.66657757759,7065.759376022077,7332.0,15241.0,39566.0,27404.98828125,27395.421875,1.6010704045114634,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9880142211914062,0.01198577880859375,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_040,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621330040.tif,1.0,65535.0,17123.539819717407,7064.024805520818,7367.0,15243.0,39579.0,27404.98828125,27395.421875,1.6004277485718061,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9880027770996094,0.011997222900390625,768,768,512,raw pixel comparison requires remounted source volume
