absolute_path,size_bytes,modified_time_ns,sha256
D:\iccd\data\20260319\2\100-Camera1[20600555].tif,52469894,1784105839790990200,b84718c21d810deeaab4b1eb9a275fad1ccc539acba41b05075c802f21b534e2
D:\iccd\data\20260319\2\101-Camera1[20600555].tif,52469894,1784105842311113300,884c4272983348e79752a8c89e9ea59c3c80da4f396f2cccfc83012fce127ce1
D:\iccd\data\20260319\2\102-Camera1[20600555].tif,52469894,1784105847123134100,5a9cfd81cf015c94e5ac4659d9ba3b00b88320c5aa76154c993e6e24c6bae815
D:\iccd\data\20260319\2\103-Camera1[20600555].tif,52469894,1784105848659844800,d2164b2e056a8904df810981dbb52623cb44caa83270f950d170d6e4e5731d6a
D:\iccd\data\20260319\2\104-Camera1[20600555].tif,52469894,1784105851450276200,514eb477bc85c93651d1ec22221415517b4b762e6b9057733bb3d3524d3ff4ca
D:\iccd\data\20260319\2\105-Camera1[20600555].tif,52469894,1784105852083332600,7390b8030bf25146ae09f9f1e087689dc31edb1051698ca67e59d811d78fd834
D:\iccd\data\20260319\2\106-Camera1[20600555].tif,52469894,1784105854706197200,289c2d94706ad44625f3a67efb9bdca255388c454332603d093cdf149796d692
D:\iccd\data\20260319\2\107-Camera1[20600555].tif,52469894,1784105860333707900,c71b0f23281e29f930471a9138b3621779e0b42e2b1368118115cbc471ec37ed
D:\iccd\data\20260319\2\108-Camera1[20600555].tif,52469894,1784105855722725100,c59c1a5e8630807216cb43816c28015a6f8dcff5e8bd54947b47fe5fec664341
D:\iccd\data\20260319\2\109-Camera1[20600555].tif,52469894,1784105863310951200,949c1a7ec294bda063f3e6bb04083e1fafc896cc010ea55a3bf5733c60c0352a
D:\iccd\data\20260319\2\110-Camera1[20600555].tif,52469894,1784105857933727800,bef5d2d0c04d54fa27073e3417a4e136e93e6ff5c1d32f1b94e669bb7a9e6035
D:\iccd\data\20260319\2\111-Camera1[20600555].tif,52469894,1784105864173237600,18393d312773c838c659f808627db1fc2ccf8c6e2d7b5d7548c8488326118db9
D:\iccd\data\20260319\2\112-Camera1[20600555].tif,52469894,1784105864449373400,75160b58e5c6554b460ff552b11c72d3ba10c4fcdcb4466024925fdb7f7d6e0e
D:\iccd\data\20260319\2\113-Camera1[20600555].tif,52469894,1784105862647856200,5ec5668ad350a4011ba4510eb6c185b280531b45e033a2bc61cdf90e68297780
D:\iccd\data\20260319\2\114-Camera1[20600555].tif,52469894,1784105864744992800,27712e45ddcd861eb35ed3eaeac1bd026430de625e07c2ff6b16f5c13a4709d2
D:\iccd\data\20260319\2\115-Camera1[20600555].tif,52469894,1784105866048053800,e9fffdbd97c2a5af82bee57d6165017c446defddb37622d53d20494a4c55aa20
D:\iccd\data\20260319\2\116-Camera1[20600555].tif,52469894,1784105873676099800,60f5a7637211a9a46317e70cad7d33cf082bc06c031b178485fb4b751e65ae79
D:\iccd\data\20260319\2\117-Camera1[20600555].tif,52469894,1784105876182607500,e77837a232cc4ce70deeab8dabf5b728e4cea3a49a080582699fbd5a96c4c6ac
D:\iccd\data\20260319\2\118-Camera1[20600555].tif,52469894,1784105874508712900,cac9be5edcb196c9b962cf7814f3c12822437b617a23aa4f4fa952aa485d6051
D:\iccd\data\20260319\2\119-Camera1[20600555].tif,52469894,1784105875764226400,465101e768feefa352ae0804a48b3867fe03b9e22414cadd0b1be1c32b5f9c12
D:\iccd\data\20260319\2\120-Camera1[20600555].tif,52469894,1784105876951649000,1e53aee166cdad91b21e1c3abc4960ffcfc95c5073d52a664320e59371e3a3f4
D:\iccd\data\20260319\2\121-Camera1[20600555].tif,52469894,1784105875859509100,78bc71a32b51e8c4a473955ddc59b292f55a79d399f5961f5e8de60a7aa96d00
D:\iccd\data\20260319\2\122-Camera1[20600555].tif,52469894,1784105876825232300,52f6d0ce741436d90e73c230e265e93fca704649cf6f29825f56e2dc77a3cc21
D:\iccd\data\20260319\2\123-Camera1[20600555].tif,52469894,1784105887209588100,f8f26519b6dba371d4f1c715ae291970ad876ed45b49c0e8995993c03f48c751
D:\iccd\data\20260319\2\124-Camera1[20600555].tif,52469894,1784105887868242700,379332e6ca3f9d2eb48f277a31a0a71d7d04155d46da77a4487b871964dfad3b
D:\iccd\data\20260319\2\125-Camera1[20600555].tif,52469894,1784105887974334300,815e90109fd0cd0aca79e3c227ac6deeb56e8f28139210d9ae30a3f2bdb1bf0c
D:\iccd\data\20260319\2\126-Camera1[20600555].tif,52469894,1784105888071644400,28e8aa37211ec2ed5f35ebace36bbccac0f158895f0e72f5b1a954c147b462cd
D:\iccd\data\20260319\2\127-Camera1[20600555].tif,52469894,1784105887111595200,71f6ab7e9fc69d4270106e0f1b2039c48748ccd576851cf79e26f459af19d81f
D:\iccd\data\20260319\2\128-Camera1[20600555].tif,52469894,1784105888125743800,3f637b36974994f2f69685dafee26a45d564986057efe778380d664ff0367e14
D:\iccd\data\20260319\2\129-Camera1[20600555].tif,52469894,1784105887321683100,7cff5d59993a725874396c0fe45e1c5ab3777e16aaad91d340b0700ea4e5d515
D:\iccd\data\20260319\2\130-Camera1[20600555].tif,52469894,1784105900524830100,a505df6662cf475279da065a1de4003f8420644c799a355e15ed2ea3821353f0
D:\iccd\data\20260319\2\131-Camera1[20600555].tif,52469894,1784105901530620900,bddf597c526654a7d1b51145df1b26f62feb2278f9c1b519b48ae065e6fe8412
D:\iccd\data\20260319\2\132-Camera1[20600555].tif,52469894,1784105899918296400,0ddf3228cb1e268694729c726545c96ab6e7ef784f89a898fe93d2f178b926dd
D:\iccd\data\20260319\2\133-Camera1[20600555].tif,52469894,1784105899947290400,cf3a19772145ea12e49b7bf1c7720a945fe2f5f8f61477c455643f3ae21b5871
D:\iccd\data\20260319\2\134-Camera1[20600555].tif,52469894,1784105900829728400,7020536a057133276e635de74faa766c0bbb650bc20d9e567e4c72898092d523
D:\iccd\data\20260319\2\135-Camera1[20600555].tif,52469894,1784105900736677400,f787249d9dceaeb473f50d096948cbffd07a14c288a2fc473962e34196482422
D:\iccd\data\20260319\2\136-Camera1[20600555].tif,52469894,1784105900546573500,2edeb5b84afc8b07b00cbac280b345ba000034ea4fc84b091e9a269cd9b3fa88
D:\iccd\data\20260319\2\137-Camera1[20600555].tif,52469894,1784105910735577400,093c793536821b58a89516c77db2cb4a5443f408530ecea96243186c3b15463a
D:\iccd\data\20260319\2\138-Camera1[20600555].tif,52469894,1784105912331752100,165df1edacb18d400663a37ee40e0e2dcf29033b0ef4e708f77a1e37b882d210
D:\iccd\data\20260319\2\139-Camera1[20600555].tif,52469894,1784105913696313200,7d98aea677f734ddbf10dc8f1b77f62832fed4f60f6a2bbae6b772fbe24f3dd8
D:\iccd\data\20260319\2\140-Camera1[20600555].tif,52469894,1784105913361821100,5fc497ae6fdcae979ca22c0f941a28987ebcade382dcf088487df3d128e0792f
D:\iccd\data\20260319\2\141-Camera1[20600555].tif,52469894,1784105912512194800,72760c87c40dc97dac5f6c38263d82ac70beded1866801a2a661c6fe8c7ec206
D:\iccd\data\20260319\2\142-Camera1[20600555].tif,52469894,1784105914294270100,2deeb7d74c0ecdec2c3f21217e8be6e4b231bae07d04316360fbdea3c27f3123
D:\iccd\data\20260319\2\143-Camera1[20600555].tif,52469894,1784105914771025400,afc645061958f445ab9eb6fae17550b078cc4dc4c3e68590b7459cd5f00d14a7
