variant,pair_key,source_pair_key,structure_source,strength_level,seed,p99_source_residual_std,physical_source_residual_std,p99_source_clean_std,physical_source_clean_std,common_clean_std,target_residual_std,realized_residual_mean,realized_residual_std,preclip_pixel_ratio,saved_zero_pixel_ratio,saved_one_pixel_ratio,signal_residual_correlation
H-H,factorial_15ms_to_500ms_014,15ms_to_500ms_014,physical,high,20260729,0.0017479029780100952,0.0008551663848703322,0.07939427484986286,0.014606107062135405,0.07815372030543484,0.004575786975506028,5.3536268751486205e-09,0.0045757870202992055,0.00151824951171875,0.0,0.00151824951171875,-0.1374897188962096
P-L,factorial_15ms_to_500ms_015,15ms_to_500ms_015,p99,low,20260730,0.0016897712697734892,0.0008795510447604516,0.07392840233706123,0.015020893325303547,0.07277325335139138,0.0016633681891361797,5.518643320101546e-09,0.0016633811600537884,0.000560760498046875,0.0,0.000560760498046875,-0.08990447841945107
P-H,factorial_15ms_to_500ms_015,15ms_to_500ms_015,p99,high,20260730,0.0016897712697734892,0.0008795510447604516,0.07392840233706123,0.015020893325303547,0.07277325335139138,0.004261250621360088,7.55977680455544e-09,0.004261247702178511,0.00072479248046875,0.0,0.00072479248046875,-0.10736402127528136
H-L,factorial_15ms_to_500ms_015,15ms_to_500ms_015,physical,low,20260730,0.0016897712697734892,0.0008795510447604516,0.07392840233706123,0.015020893325303547,0.07277325335139138,0.0016633681891361797,-7.1091363906816696e-09,0.0016633809187351397,0.000457763671875,0.0,0.000457763671875,-0.07268202693736617
H-H,factorial_15ms_to_500ms_015,15ms_to_500ms_015,physical,high,20260730,0.0016897712697734892,0.0008795510447604516,0.07392840233706123,0.015020893325303547,0.07277325335139138,0.004261250621360088,4.063252845298848e-09,0.004261261712990032,0.000606536865234375,0.0,0.000606536865234375,-0.08524190794065782
P-L,factorial_15ms_to_500ms_016,15ms_to_500ms_016,p99,low,20260731,0.0015981952094204005,0.0008774812734708784,0.06648786742336535,0.015050405702121758,0.06544897860337459,0.0015732230272829093,-2.914873675763374e-09,0.0015732315397982513,8.0108642578125e-05,0.0,8.0108642578125e-05,-0.026423334821301714
P-H,factorial_15ms_to_500ms_016,15ms_to_500ms_016,p99,high,20260731,0.0015981952094204005,0.0008774812734708784,0.06648786742336535,0.015050405702121758,0.06544897860337459,0.003815860796640258,1.1521478882059455e-08,0.0038158664614895855,0.000118255615234375,0.0,0.000118255615234375,-0.02982420655413634
H-L,factorial_15ms_to_500ms_016,15ms_to_500ms_016,physical,low,20260731,0.0015981952094204005,0.0008774812734708784,0.06648786742336535,0.015050405702121758,0.06544897860337459,0.0015732230272829093,3.95152710552793e-09,0.0015732260928110063,9.5367431640625e-05,0.0,9.5367431640625e-05,-0.02321284373010324
H-H,factorial_15ms_to_500ms_016,15ms_to_500ms_016,physical,high,20260731,0.0015981952094204005,0.0008774812734708784,0.06648786742336535,0.015050405702121758,0.06544897860337459,0.003815860796640258,-1.4031684258952737e-08,0.0038158611187212718,0.00011444091796875,0.0,0.00011444091796875,-0.024828806203157697
P-L,factorial_15ms_to_500ms_017,15ms_to_500ms_017,p99,low,20260732,0.001559467086910171,0.0008624326205226172,0.06581206814917484,0.014634845683112666,0.06478373892454792,0.001535100042606403,2.0923778265569126e-09,0.0015351029370580752,8.0108642578125e-05,0.0,8.0108642578125e-05,-0.015294255524349244
