folder,frame_count,crop_size,radius_px,psd_mean,psd_norm
5,128,512,72,18019523387.733334,0.0013923777514734724
5,128,512,73,18244701863.724136,0.0014097774070211731
5,128,512,74,18051480628.96552,0.0013948471037827826
5,128,512,75,18175681914.62185,0.001404444200394672
5,128,512,76,18170103411.2,0.001404013146593527
5,128,512,77,18193636339.612904,0.0014058315479598723
5,128,512,78,18122866012.5042,0.001400363088733157
5,128,512,79,18086503902.967743,0.0013975533700060975
5,128,512,80,17876098552.123077,0.0013812952413639983
5,128,512,81,18132324974.592,0.0014010939875521596
5,128,512,82,17940253375.044777,0.0013862525172121877
5,128,512,83,17735127803.93651,0.0013704023598398861
5,128,512,84,17939673737.55224,0.001386207728327867
5,128,512,85,17796977230.48175,0.0013751814965356774
5,128,512,86,18014480963.764706,0.0013919881208047616
5,128,512,87,17853252956.753624,0.001379529950572054
5,128,512,88,17875430458.625954,0.0013812436174391429
5,128,512,89,18049324837.546665,0.0013946805246816687
5,128,512,90,17926275791.768116,0.0013851724622320966
5,128,512,91,17784553781.333332,0.0013742215302913652
5,128,512,92,18001863616.44138,0.0013910131719497008
5,128,512,93,17750782807.671234,0.0013716120299532646
5,128,512,94,17527425808.842106,0.001354353120873723
5,128,512,95,17671580566.068966,0.0013654920323983406
5,128,512,96,17614377355.946667,0.0013610719112123733
5,128,512,97,17641509965.772152,0.0013631684617951782
5,128,512,98,17485662760.42105,0.0013511260688477647
5,128,512,99,17710137941.863354,0.0013684713804674384
5,128,512,100,17683356628.210526,0.0013664019747188483
5,128,512,101,17503861611.95181,0.0013525323033762012
5,128,512,102,17527290686.01242,0.0013543426798638405
5,128,512,103,17692733735.384617,0.001367126548566971
5,128,512,104,17498186343.61905,0.0013520937725010971
5,128,512,105,17546291766.06211,0.001355810902998597
5,128,512,106,17624053839.448277,0.0013618196180218284
5,128,512,107,17489506169.904762,0.0013514230510564375
5,128,512,108,17703645273.44578,0.0013679696886713904
5,128,512,109,17616006114.05848,0.0013611977661813768
5,128,512,110,17860494657.488373,0.001380089520476814
5,128,512,111,17521113705.244446,0.0013538653814132908
5,128,512,112,17564877548.982857,0.0013572470359126437
5,128,512,113,17618338174.5618,0.0013613779656844404
5,128,512,114,17528245905.89247,0.0013544164901905693
5,128,512,115,17578431323.02222,0.0013582943429370769
5,128,512,116,17708417638.97207,0.0013683384517866916
5,128,512,117,17693206978.782608,0.001367163116325408
5,128,512,118,17495415560.17021,0.0013518796726525442
5,128,512,119,17549037936.42328,0.0013560231009813275
5,128,512,120,17460186084.765957,0.0013491574731418535
5,128,512,121,17503793547.130436,0.0013525270439727808
5,128,512,122,17606956321.16062,0.0013604984840741153
5,128,512,123,17528522888.699028,0.0013544378927931294
5,128,512,124,17399939170.042553,0.001344502163350869
5,128,512,125,17395961349.069305,0.0013441947950979293
5,128,512,126,17515068218.243385,0.0013533982435530948
5,128,512,127,17395850849.882355,0.0013441862567694644
5,128,512,128,17529223419.029125,0.0013544920231285922
7,128,512,0,0.012555815279483795,3.960770580319518e-15
7,128,512,1,111808807936.0,0.03527043264304148
7,128,512,2,133588453376.0,0.042140888841094806
7,128,512,3,1125917146931.2,0.3551740298958689
7,128,512,4,299079440384.0,0.09434553012156721
7,128,512,5,85038789836.8,0.026825748027842874
7,128,512,6,50583236266.666664,0.015956637590052336
7,128,512,7,32167820842.666668,0.010147438106612644
7,128,512,8,28664965632.0,0.009042451647613236
7,128,512,9,35435496557.71429,0.011178236469768975
7,128,512,10,193366753249.88235,0.0609981375510906
7,128,512,11,27574134688.0,0.008698345668437425
7,128,512,12,17632085273.6,0.005562095576180782
7,128,512,13,16566482832.695652,0.005225948005967076
7,128,512,14,18676305896.727272,0.005891498186157333
7,128,512,15,16045856768.0,0.0050617149112222445
7,128,512,16,25412023040.0,0.00801630089347506
7,128,512,17,31789765084.689655,0.010028179253994567
7,128,512,18,12477573273.6,0.003936088898712104
7,128,512,19,11419416951.466667,0.0036022902295860066
7,128,512,20,10880613508.129032,0.0034323230247933685
7,128,512,21,10862103736.88889,0.003426484060477272
7,128,512,22,10869423676.235294,0.0034287931578769718
7,128,512,23,13584433473.828571,0.004285251356107872
7,128,512,24,10902604523.789474,0.0034392601583781183
7,128,512,25,9784984643.047619,0.003086703526643047
7,128,512,26,9742958062.545454,0.0030734461124537512
7,128,512,27,9766822474.926828,0.003080974214800973
