folder,frame_count,crop_size,radius_px,autocorr_mean,autocorr_norm
2,128,512,60,0.0008127805933298515,0.0006726377008319351
2,128,512,61,0.0008170583072299818,0.000676177834130163
2,128,512,62,0.0008122926091234633,0.0006722338568212378
2,128,512,63,0.0008217005088248736,0.0006800196086917256
2,128,512,64,0.0008059086101261865,0.0006669506125571871
2,128,512,65,0.000772127820974163,0.0006389944426707783
2,128,512,66,0.0007624747488505646,0.0006310057919912868
2,128,512,67,0.0007421545992245483,0.000614189324131236
2,128,512,68,0.0007078509373370403,0.000585800437325267
2,128,512,69,0.0007649655916006479,0.0006330671536358678
2,128,512,70,0.000733208477680758,0.0006067857287747999
2,128,512,71,0.000733641245970604,0.0006071438774189284
2,128,512,72,0.000658410093929791,0.0005448843825996005
2,128,512,73,0.0006936180767961687,0.0005740216637312126
2,128,512,74,0.0006678020517101419,0.0005526569413190506
2,128,512,75,0.0006578448967992459,0.000544416639027071
2,128,512,76,0.0006578377375083793,0.0005444107141698739
2,128,512,77,0.0006001811765811921,0.0004966955289179044
2,128,512,78,0.0006104005047249971,0.0005051527994815809
2,128,512,79,0.0005937408443307453,0.0004913656646063235
2,128,512,80,0.0005568786246358413,0.0004608593768004588
2,128,512,81,0.0005545657198926981,0.00045894527237739743
2,128,512,82,0.0005167356109133367,0.00042763798264272183
2,128,512,83,0.0005500727327223594,0.00045522698409034245
2,128,512,84,0.0005079643691149482,0.00042037911356399785
2,128,512,85,0.0005002786247739068,0.0004140185761137119
2,128,512,86,0.0004731998022980992,0.00039160879290673094
2,128,512,87,0.00046440945213510235,0.00038433411020432755
2,128,512,88,0.00048742445712730766,0.0004033807756508657
2,128,512,89,0.0004159028196043438,0.00034419118596579597
2,128,512,90,0.0004394476605644603,0.0003636763309358348
2,128,512,91,0.0004301435521903581,0.00035597647427537015
2,128,512,92,0.00042128177992612024,0.00034864268435711837
2,128,512,93,0.0004188095688884614,0.0003465967418703158
2,128,512,94,0.00040474830438651943,0.00033495997703735235
2,128,512,95,0.00038914909987126906,0.0003220504499816455
2,128,512,96,0.0003667078017932372,0.0003034785706002126
2,128,512,97,0.00034489551198104085,0.00028542724335450743
2,128,512,98,0.00040663258941513045,0.0003365193660775906
2,128,512,99,0.00033529672239903914,0.000277483515602894
2,128,512,100,0.0003914984751083638,0.0003239947365096945
2,128,512,101,0.00032417971050116524,0.0002682833435214323
2,128,512,102,0.0003190290302716503,0.00026402076425252076
2,128,512,103,0.0003362590015543277,0.00027827987472352705
2,128,512,104,0.00030052314162419883,0.00024870573521045566
2,128,512,105,0.0003216232392506775,0.000266167669305927
2,128,512,106,0.00030433319695398405,0.00025185884550627343
2,128,512,107,0.00029344347812307976,0.00024284677570879357
2,128,512,108,0.00029323673068853214,0.00024267567649681896
2,128,512,109,0.00031637734696228096,0.0002618262948235186
2,128,512,110,0.0003142498503206628,0.0002600656296928676
2,128,512,111,0.00030209144955815914,0.0002500036291950718
2,128,512,112,0.00034874737108881056,0.0002886149494531043
2,128,512,113,0.0003324068913544028,0.0002750919608270923
2,128,512,114,0.0003019278620071738,0.0002498682480662869
2,128,512,115,0.00028225820032943313,0.00023359010841133556
2,128,512,116,0.00025795154969559603,0.0002134745080495118
2,128,512,117,0.00026520825166700176,0.0002194799803377607
2,128,512,118,0.00026493677101484763,0.00021925530946940595
2,128,512,119,0.0002973080741986838,0.00024604502261610313
2,128,512,120,0.00025192009046454323,0.0002084830172300571
2,128,512,121,0.00028140924169719317,0.00023288753063428525
2,128,512,122,0.0002578782981033302,0.00021341388679082485
2,128,512,123,0.00022329139304717166,0.00018479059474031515
2,128,512,124,0.0002571862653698397,0.00021284117711914283
2,128,512,125,0.00023425527062500927,0.0001938640365359002
2,128,512,126,0.00026987316119650136,0.0002233405474406937
2,128,512,127,0.00023450249231531843,0.0001940686312699896
2,128,512,128,0.00024338151055479975,0.00020141669354320602
4,128,512,0,1.0,0.7221152005755511
