experiment,run_seed,source,split,content_id,condition_id,sigma_DN,residual_seed,residual_mean_DN,residual_std_DN,residual_std_relative_error,residual_skewness,residual_excess_kurtosis,negative_before_clipping_ratio,above_one_before_clipping_ratio,added_zero_ratio,added_one_ratio,brightness_shift_DN,gradient_ratio,noisy_round_trip_max_error_DN,residual_reconstruction_max_error_DN,patch_height,patch_width,number_of_pixels,standard_error_mean_DN,z_mean,clipping_mean_contribution_DN
CG,20260721,PMRID,validation,pmrid_gt_002,high,148.4405090006516,610282463,-0.8619744401400176,148.73027965386115,0.001952099566084662,-0.005661005154252052,-0.004017829895019531,0.000614166259765625,0.0,0.000614166259765625,0.0,-0.8252613906444117,1.0115806307619344,0.5,0.5,512,512,262144,0.28992286914189763,-2.9731164108966492,0.03671304949560583
CG,20260721,PMRID,validation,pmrid_gt_023,mid,88.23103152697934,4057850798,-0.49853198684098343,88.22029459112943,0.00012169115178736749,0.00339614343829453,0.002830028533935547,0.002368927001953125,0.0,0.002368927001953125,0.0,-0.4043214599041911,1.0134709393124244,0.5,0.5,512,512,262144,0.17232623345113152,-2.8929546991019084,0.09421052693679233
G,20260721,sCMOS,training,content_075,mid,91.4432,1794436383,-0.49721323230768366,91.45143336191062,9.003798981895102e-05,0.0019531077705323696,-0.0031616687774658203,0.0,0.0,0.0,0.0,-0.4972133509881349,1.419897255115713,0.5,0.5,512,512,262144,0.1786,-2.7839486691359667,-1.1868045124430182e-07
CG,20260721,sCMOS,training,content_075,mid,88.23103152697934,1794436383,-0.47974737242318544,88.23897392206744,9.001815971832168e-05,0.0019531906582415104,-0.0031616687774658203,0.0,0.0,0.0,0.0,-0.4797472550543347,1.3908872413631728,0.5,0.5,512,512,262144,0.17232623345113152,-2.7839485771574806,1.1736885074942194e-07
CG,20260719,sCMOS,training,content_029,high,148.4405090006516,1705518671,-0.8070556734719103,148.2725139658648,0.0011317330822818807,0.0009302898542955518,0.005996227264404297,0.0,0.0,0.0,0.0,-0.8070556526057615,1.3868344844946672,0.5,0.5,512,512,262144,0.28992286914189763,-2.7836909722251373,2.0866148808806884e-08
G,20260719,sCMOS,training,content_029,high,91.4432,1705518671,-0.4971671773949058,91.33970732177578,0.0011317700848639158,0.0009301507961936295,0.005995988845825195,0.0,0.0,0.0,0.0,-0.4971671041938208,1.1464473080756008,0.5,0.5,512,512,262144,0.1786,-2.783690802883011,7.320108497133049e-08
CG,20260719,sCMOS,training,content_092,low,55.29993549356029,681334387,-0.2965020976352851,55.30695688853816,0.00012696931588078737,-0.005774597637355328,-0.01452946662902832,0.0,0.0,0.0,0.0,-0.29650216098825233,1.3926350192950296,0.5,0.5,512,512,262144,0.10800768651085994,-2.7451944135982624,-6.33529672056099e-08
G,20260719,sCMOS,training,content_092,low,91.4432,681334387,-0.4902917218230798,91.45481359708133,0.00012700339753335198,-0.005774498451501131,-0.01453089714050293,0.0,0.0,0.0,0.0,-0.49029177147852376,2.071727487643348,0.5,0.5,512,512,262144,0.1786,-2.74519441110347,-4.965544397883548e-08
G,20260721,sCMOS,training,content_093,mid,91.4432,3632524753,-0.472922881694839,91.53436600268535,0.0009969686393886165,0.0077558113262057304,-0.009994983673095703,0.0,0.0,0.0,0.0,-0.4729229734621665,1.4209657090959287,0.5,0.5,512,512,262144,0.1786,-2.6479444663764777,-9.17673275147024e-08
CG,20260721,sCMOS,training,content_093,mid,88.23103152697934,3632524753,-0.4563102961850476,88.31899334987733,0.0009969488214710265,0.007755922619253397,-0.009994029998779297,0.0,0.0,0.0,0.0,-0.45631028089977654,1.3918927132809216,0.5,0.5,512,512,262144,0.17232623345113152,-2.6479444658346147,1.5285271048881555e-08
G,20260721,sCMOS,training,content_026,mid,91.4432,1969724269,-0.4627890028610208,91.52290984137173,0.0008716869200960121,-0.004391321912407875,-0.015297889709472656,0.0,0.0,0.0,0.0,-0.462788879453484,1.4101331436513398,0.5,0.5,512,512,262144,0.1786,-2.591203823409971,1.2340753680062377e-07
CG,20260721,sCMOS,training,content_026,mid,88.23103152697934,1969724269,-0.44653237973048343,88.30793961922781,0.0008716671551658815,-0.004391244612634182,-0.015296697616577148,0.0,0.0,0.0,0.0,-0.4465324575086882,1.381746770683337,0.5,0.5,512,512,262144,0.17232623345113152,-2.591203734845813,-7.77782047656217e-08
