source_pair_key,full_mean_dn,roi_mean_dn,roi_to_full_mean_ratio,full_p99_dn,roi_p99_dn,full_robust_dynamic_range_dn,roi_robust_dynamic_range_dn,full_zero_ratio,roi_zero_ratio,full_saturation_ratio,roi_saturation_ratio
15ms_to_500ms_060,17109.086972475052,12867.779457092285,0.7521020541770496,39644.0,30420.570000000007,32301.0,23118.570000000007,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_061,17076.972855091095,12808.296974182129,0.7500332220978871,39643.0,30312.850000000035,32316.0,23047.850000000035,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_062,17098.97938489914,12873.853973388672,0.7529018945281692,39603.96999999974,30003.570000000007,32260.96999999974,22689.570000000007,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_063,17097.874079465866,12862.174877166748,0.7522674934548681,39631.0,30190.0,32256.0,22797.0,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_064,17089.19917345047,12859.567218780518,0.7524967722746747,39600.0,30089.280000000028,32230.0,22723.280000000028,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_065,17101.285124063492,12835.060203552246,0.7505319109317596,39575.96999999974,29810.270000000077,32205.96999999974,22430.840000000077,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_066,17050.036566495895,12766.537574768066,0.7487689263878119,39537.0,29524.840000000084,32204.0,22218.410000000084,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_067,17097.81686925888,12779.043991088867,0.7474079345220397,39498.0,29420.140000000014,32146.0,22122.710000000014,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_068,17086.696513414383,12774.384906768799,0.7476216889988018,39470.0,29719.140000000014,32117.0,22403.710000000014,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_069,17091.220721006393,12819.02241897583,0.7500355081846372,39528.0,30028.850000000035,32158.0,22738.850000000035,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_070,17110.61727809906,12809.451637268066,0.7486259220854456,39509.0,29648.130000000063,32168.0,22355.130000000063,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_071,17128.98366689682,12820.132907867432,0.7484467938774091,39463.0,29718.570000000007,32082.0,22387.570000000007,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_072,17110.773437023163,12808.659790039062,0.7485728121631562,39537.0,29863.420000000042,32189.0,22558.420000000042,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_073,17079.7434091568,12813.800464630127,0.750233780313139,39560.0,29687.71000000002,32200.0,22356.71000000002,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_074,17089.115023374557,12784.950580596924,0.7481341522430869,39533.96999999974,29926.850000000035,32185.96999999974,22630.850000000035,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_075,17137.456246614456,12857.324447631836,0.7502469597943878,39582.0,30157.130000000063,32186.0,22810.130000000063,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_076,17098.940797805786,12843.083572387695,0.7511040434759432,39592.0,29933.960000000196,32232.0,22688.960000000196,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_077,17056.85780954361,12757.245944976807,0.7479247401499064,39569.0,29597.850000000035,32249.0,22349.420000000035,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_078,17105.27984380722,12807.729175567627,0.7487588214000793,39561.0,30121.140000000014,32209.0,22788.710000000014,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_079,17107.850813388824,12841.609397888184,0.7506266881774638,39564.0,29985.11000000016,32183.0,22664.11000000016,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_080,17109.865620851517,12827.876350402832,0.7497356574659304,39544.0,29781.0,32192.0,22476.0,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_081,17115.504875421524,12822.147289276123,0.7491539035865185,39591.0,30010.99000000005,32238.0,22690.99000000005,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_082,17098.552883148193,12821.674419403076,0.7498689805521334,39599.0,29858.70000000007,32258.0,22520.27000000007,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_083,17076.629899263382,12794.769897460938,0.749256145559075,39556.0,29911.0,32231.0,22651.57,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_084,17078.450685739517,12785.73819732666,0.74864742900846,39537.0,29768.0,32190.0,22463.57,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_085,17097.188653945923,12813.438209533691,0.7494470856515016,39553.96999999974,29766.570000000007,32212.96999999974,22460.710000000006,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_086,17145.6234459877,12895.176944732666,0.7520972909124692,39559.96999999974,30146.0,32162.96999999974,22792.0,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_087,17098.638480901718,12836.336681365967,0.7507227371175478,39616.96999999974,29802.140000000014,32254.96999999974,22447.710000000014,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_088,17117.751804351807,12831.356227874756,0.7495935432720008,39571.0,29865.570000000007,32181.0,22547.570000000007,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_089,17084.958137512207,12831.749172210693,0.7510553475713206,39552.0,30015.99000000005,32205.0,22680.99000000005,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_090,17076.279202461243,12808.317821502686,0.7500649099047639,39617.0,29948.71000000002,32293.0,22663.71000000002,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_091,17090.107409000397,12812.306629180908,0.7496914046563211,39566.0,29920.71000000002,32225.0,22590.71000000002,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_092,17101.540038347244,12826.480068206787,0.7500190064430236,39555.0,29671.0,32195.97,22349.0,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_093,17092.589315891266,12816.93977355957,0.7498536082911351,39575.0,30013.560000000056,32236.0,22758.560000000056,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_094,17123.903388738632,12849.826477050781,0.7504028833461736,39595.0,29760.570000000007,32246.0,22406.570000000007,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_095,17085.51141858101,12834.05630493164,0.7511660605590195,39621.0,29998.850000000035,32282.0,22680.850000000035,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_096,17102.143526792526,12839.923118591309,0.7507785850630977,39553.0,30006.280000000028,32188.0,22714.280000000028,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_097,17106.85431098938,12851.980907440186,0.7512766914244497,39619.96999999974,30103.840000000084,32271.96999999974,22794.840000000084,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_098,17102.925688505173,12820.450534820557,0.7496056971958397,39575.0,29975.280000000028,32234.0,22655.280000000028,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_099,17134.73192191124,12843.779678344727,0.7495757585749324,39602.96999999974,29663.0,32236.96999999974,22325.0,0.0,0.0,0.00048422813415527344,0.0
