source,content_id,content_sha256,condition_id,seed,source_mean_DN,target_iccd_signal_DN,gain,scaled_mean_DN,relative_mean_error,source_zero_ratio,scaled_zero_ratio,added_zero_ratio,clipping_high_ratio,unique_values,scaled_std_DN,effective_dynamic_range_DN,round_trip_max_error_DN,scale_gate_pass,failure_reason,scene_id,patch_top,patch_left
sCMOS,content_079,aa25ba90cffa8319ff36e73836dee9ab6f2a3b519bdf940a5c9d214654aa7fda,high,1573559037,12841.609397888184,2510.12255859375,0.1954679106659748,2510.123546600342,3.936089050370463e-07,0.0,0.0,0.0,0.0,6008,738.759913152279,4430.280000000028,0.5,True,,,,
sCMOS,content_080,12d515bdd6b81783642acd445adc24da0b5f053d7c4082a18baca947c4f431f0,low,1916174133,12827.876350402832,935.1195068359376,0.07289745249271694,935.1190414428711,4.976829839585283e-07,0.0,0.0,0.0,0.0,2575,274.09706005475635,1638.0,0.5,True,,,,
sCMOS,content_080,12d515bdd6b81783642acd445adc24da0b5f053d7c4082a18baca947c4f431f0,mid,3514700332,12827.876350402832,1491.98291015625,0.11630786494986736,1491.9827919006348,7.926070361086811e-08,0.0,0.0,0.0,0.0,3915,437.3215659923069,2614.0,0.5,True,,,,
sCMOS,content_080,12d515bdd6b81783642acd445adc24da0b5f053d7c4082a18baca947c4f431f0,high,2845257284,12827.876350402832,2510.12255859375,0.19567717134371387,2510.1223945617676,6.534819658916212e-08,0.0,0.0,0.0,0.0,5992,735.751583666613,4398.0,0.5,True,,,,
sCMOS,content_081,46fb0b17ecc1cc1d575b425767b96361eaab21b58026136b4e15ba1ae5e23f89,low,1092252560,12822.147289276123,935.1195068359376,0.07293002378923148,935.12109375,1.6970173873880377e-06,0.0,0.0,0.0,0.0,2552,274.9065871120102,1654.570000000007,0.5,True,,,,
sCMOS,content_081,46fb0b17ecc1cc1d575b425767b96361eaab21b58026136b4e15ba1ae5e23f89,mid,3237650937,12822.147289276123,1491.98291015625,0.11635983244429571,1491.9829406738281,2.045437512538532e-08,0.0,0.0,0.0,0.0,3888,438.6135105149603,2640.0,0.5,True,,,,
sCMOS,content_081,46fb0b17ecc1cc1d575b425767b96361eaab21b58026136b4e15ba1ae5e23f89,high,2811130480,12822.147289276123,2510.12255859375,0.19576460182243466,2510.123607635498,4.179245130702229e-07,0.0,0.0,0.0,0.0,5998,737.9259670871745,4442.140000000014,0.5,True,,,,
sCMOS,content_082,edb02518e6ec8606941ac70dd33b4e4d7a1b6c1bef7bf8720a7898efc291d56c,low,2764789448,12821.674419403076,935.1195068359376,0.07293271348559738,935.1191482543945,3.8346065979922744e-07,0.0,0.0,0.0,0.0,2576,274.0544134847285,1642.570000000007,0.5,True,,,,
sCMOS,content_082,edb02518e6ec8606941ac70dd33b4e4d7a1b6c1bef7bf8720a7898efc291d56c,mid,3674159028,12821.674419403076,1491.98291015625,0.116364123854091,1491.9820594787598,5.701657066201157e-07,0.0,0.0,0.0,0.0,3897,437.25273470244565,2620.570000000007,0.5,True,,,,
sCMOS,content_082,edb02518e6ec8606941ac70dd33b4e4d7a1b6c1bef7bf8720a7898efc291d56c,high,4032657409,12821.674419403076,2510.12255859375,0.1957718217205059,2510.12264251709,3.343396104561783e-08,0.0,0.0,0.0,0.0,6025,735.6360599202851,4408.140000000014,0.5,True,,,,
sCMOS,content_083,b6be624c2af690553efaaceb9352173476e8d4ec70f6328f0265df168eb72bf0,low,1883579029,12794.769897460938,935.1195068359376,0.07308607457032172,935.119686126709,1.9173032971725174e-07,0.0,0.0,0.0,0.0,2572,276.5743965640103,1655.0,0.5,True,,,,
sCMOS,content_083,b6be624c2af690553efaaceb9352173476e8d4ec70f6328f0265df168eb72bf0,mid,1778477449,12794.769897460938,1491.98291015625,0.1166088114216362,1491.9831314086914,1.4829421965904356e-07,0.0,0.0,0.0,0.0,3929,441.2745131447176,2641.57,0.5,True,,,,
sCMOS,content_083,b6be624c2af690553efaaceb9352173476e8d4ec70f6328f0265df168eb72bf0,high,2723222974,12794.769897460938,2510.12255859375,0.1961834858078903,2510.122489929199,2.735505903732368e-08,0.0,0.0,0.0,0.0,6081,742.4027594725947,4444.0,0.5,True,,,,
