folder,variant,construction,strength,tail,spatial,signal_nonstationarity,real_std,synthetic_std,real_kurtosis,synthetic_kurtosis,real_conditional_valid_fraction,synthetic_conditional_valid_fraction
10,P-L,A,0.2821769356525198,257.12036418914795,0.0018722713994994667,0.745539731996185,0.0011803884990513325,0.0015652108704671264,2.522000312805176,259.6423645019531,1.0,0.125
10,P-L,B,0.2849108429462998,266.81302070617676,0.002423051396470823,0.7458119985053148,0.0011802992084994912,0.0015693771420046687,2.530149459838867,269.3431701660156,1.0,0.125
10,P-H,A,1.218021628214375,358.5818510055542,0.0018631276516086878,0.745539731996185,0.0011803884990513325,0.003990295343101025,2.522000312805176,361.1038513183594,1.0,0.125
10,P-H,B,1.2285154536940417,380.013521194458,0.003990854056475159,0.7458119985053148,0.0011802992084994912,0.0040320842526853085,2.530149459838867,382.5436706542969,1.0,0.125
10,H-L,A,0.28217604313093586,83.70811748504639,0.0036210702254451483,0.745539731996185,0.0011803884990513325,0.0015652094734832644,2.522000312805176,86.23011779785156,1.0,0.125
10,H-L,B,0.28491240071070756,81.58860206604004,0.0012871146132431345,0.7458119985053148,0.0011802992084994912,0.001569379586726427,2.530149459838867,84.1187515258789,1.0,0.125
10,H-H,A,1.218021978309668,98.45301342010498,0.002625884921315771,0.745539731996185,0.0011803884990513325,0.0039902967400848866,2.522000312805176,100.97501373291016,1.0,0.125
10,H-H,B,1.228516262116557,98.17027473449707,0.001759124497332589,0.7458119985053148,0.0011802992084994912,0.00403208751231432,2.530149459838867,100.70042419433594,1.0,0.125
11,P-L,A,0.525255615303686,257.84231185913086,0.0023168191784271167,0.5650402297412056,0.0009256722405552864,0.0015652108704671264,1.8000526428222656,259.6423645019531,1.0,0.125
11,P-L,B,0.5281059961251346,267.555703163147,0.002591572416101846,0.5639330732747065,0.0009254944161511958,0.0015693771420046687,1.7874670028686523,269.3431701660156,1.0,0.125
11,P-H,A,1.4611003078655413,359.3037986755371,0.002263465006145128,0.5650402297412056,0.0009256722405552864,0.003990295343101025,1.8000526428222656,361.1038513183594,1.0,0.125
11,P-H,B,1.4717106068728765,380.7562036514282,0.003510556800765525,0.5639330732747065,0.0009254944161511958,0.0040320842526853085,1.7874670028686523,382.5436706542969,1.0,0.125
11,H-L,A,0.5252547227821022,84.4300651550293,0.003992171545159952,0.5650402297412056,0.0009256722405552864,0.0015652094734832644,1.8000526428222656,86.23011779785156,1.0,0.125
