folder,variant,strength,strength_A,strength_B,tail,tail_A,tail_B,spatial,spatial_A,spatial_B,signal_nonstationarity,signal_nonstationarity_A,signal_nonstationarity_B
10,H-H,1.2232691202131125,1.218021978309668,1.228516262116557,98.31164407730103,98.45301342010498,98.17027473449707,0.0021925047093241798,0.002625884921315771,0.001759124497332589,0.7456758652507498,0.745539731996185,0.7458119985053148
10,H-L,0.28354422192082174,0.28217604313093586,0.28491240071070756,82.64835977554321,83.70811748504639,81.58860206604004,0.0024540924193441416,0.0036210702254451483,0.0012871146132431345,0.7456758652507498,0.745539731996185,0.7458119985053148
10,P-H,1.2232685409542083,1.218021628214375,1.2285154536940417,369.2976861000061,358.5818510055542,380.013521194458,0.0029269908540419235,0.0018631276516086878,0.003990854056475159,0.7456758652507498,0.745539731996185,0.7458119985053148
10,P-L,0.28354388929940977,0.2821769356525198,0.2849108429462998,261.96669244766235,257.12036418914795,266.81302070617676,0.0021476613979851448,0.0018722713994994667,0.002423051396470823,0.7456758652507498,0.745539731996185,0.7458119985053148
11,H-H,1.466406036628113,1.4611006579608343,1.4717114152953918,99.04395914077759,99.17496109008789,98.91295719146729,0.0026684504558661163,0.0029740750054552028,0.00236282590627703,0.5644866515079561,0.5650402297412056,0.5639330732747065
11,H-L,0.5266811383358223,0.5252547227821022,0.5281075538895424,83.38067483901978,84.4300651550293,82.33128452301025,0.003385365635095912,0.003992171545159952,0.002778559725031872,0.5644866515079561,0.5650402297412056,0.5639330732747065
11,P-H,1.466405457369209,1.4611003078655413,1.4717106068728765,370.03000116348267,359.3037986755371,380.7562036514282,0.0028870109034553264,0.002263465006145128,0.003510556800765525,0.5644866515079561,0.5650402297412056,0.5639330732747065
11,P-L,0.5266808057144103,0.525255615303686,0.5281059961251346,262.6990075111389,257.84231185913086,267.555703163147,0.002454195797264481,0.0023168191784271167,0.002591572416101846,0.5644866515079561,0.5650402297412056,0.5639330732747065
13,H-H,1.904392223415381,1.8990622142655607,1.909722232565201,98.28711271286011,98.42692184448242,98.1473035812378,0.006862868614570295,0.007722676727936567,0.006003060501204022,0.10319559760374006,0.102236362110203,0.10415483309727713
13,H-L,0.96466732512309,0.9632162790868283,0.9661183711593515,82.6238284111023,83.68202590942383,81.56563091278076,0.007988823550462603,0.008839771597985154,0.0071378755029400534,0.10319559760374006,0.102236362110203,0.10415483309727713
13,P-H,1.9043916441564765,1.8990618641702677,1.9097214241426856,369.2731547355652,358.55575942993164,379.99055004119873,0.005093866430174071,0.005577393077936772,0.00461033978241137,0.10319559760374006,0.102236362110203,0.10415483309727713
13,P-L,0.964666992501678,0.9632171716084124,0.9661168133949437,261.94216108322144,257.0942726135254,266.7900495529175,0.006112593348988931,0.0069022187509484665,0.005322967947029396,0.10319559760374006,0.102236362110203,0.10415483309727713
