reference,strategy,folder,pair_count,mean_psnr_gain,std_psnr_gain,positive_pair_fraction,mean_ssim,mean_ssim_gain,mean_gradient_ratio_to_noisy,mean_residual_std,mean_removed_residual_std
ref25_q2,lofo_best_linear,9,8,0.056874643111576084,0.002567935377940271,1.0,0.997338650536986,3.511988698705337e-05,0.994473662070216,0.0015356737858382985,2.747792973423202e-05
ref25_q2,lofo_best_linear,10,8,0.027271013365269603,0.009418861546298904,1.0,0.9982853942841294,1.1021962175769562e-05,0.9946359429726731,0.00122124794870615,2.9165845035095117e-05
ref25_q2,lofo_best_linear,11,8,0.04944708899072392,0.020655133419055564,1.0,0.9989468525513681,1.3433035921259218e-05,0.9944210800819628,0.0009542547559249215,2.664391740836436e-05
ref25_q2,lofo_best_linear,13,8,-0.005617355782363553,0.044705752225761716,0.5,0.9995449624488195,-3.5072390917739726e-06,0.9946551887592154,0.0006157616298878565,2.4570964569647913e-05
ref25_q3,always_noisy,1,8,0.0,0.0,0.0,0.9982240103885549,0.0,1.0,0.0012555078865261748,0.0
ref25_q3,always_noisy,2,8,0.0,0.0,0.0,0.9994169935029369,0.0,1.0,0.0007008367902017199,0.0
ref25_q3,always_noisy,4,8,0.0,0.0,0.0,0.9954802430009457,0.0,1.0,0.0020489329763222486,0.0
ref25_q3,always_noisy,5,8,0.0,0.0,0.0,0.983751866662772,0.0,1.0,0.004529382684268057,0.0
ref25_q3,always_noisy,7,8,0.0,0.0,0.0,0.9922060671068538,0.0,1.0,0.0027943731984123588,0.0
ref25_q3,always_noisy,8,8,0.0,0.0,0.0,0.9935039213690886,0.0,1.0,0.002471646119374782,0.0
ref25_q3,always_noisy,9,8,0.0,0.0,0.0,0.997318264826273,0.0,1.0,0.0015403734432766214,0.0
ref25_q3,always_noisy,10,8,0.0,0.0,0.0,0.998281679443227,0.0,1.0,0.0012247652339283377,0.0
ref25_q3,always_noisy,11,8,0.0,0.0,0.0,0.9989354257138245,0.0,1.0,0.0009590711051714607,0.0
ref25_q3,always_noisy,13,8,0.0,0.0,0.0,0.9995501018528319,0.0,1.0,0.0006181017233757302,0.0
