run_seed,model,folder,band,raw_energy,output_energy,corrected_energy,output_energy_ratio,corrected_energy_ratio,raw_fraction,output_fraction,corrected_fraction
20260721,CG_NC,5,mid,9.012727897705677e+16,8.818447199554765e+16,8.81844717271122e+16,0.9784437408567089,0.9784437378783049,0.16611426472098764,0.1646618398469235,0.16463233305444683
20260721,CG_NC,5,high,3.657467630274478e+17,3.6257236343639245e+17,3.625723666576179e+17,0.9913207718783908,0.9913207806856471,0.6741106056230998,0.6770107150394696,0.6768894052983708
20260719,G,9,dc,117407705989120.0,117357459734528.0,117407771262976.0,0.9995720361438911,1.0000005559588738,0.0017381414744648159,0.001800448182807524,0.0018012186771572672
20260719,G,9,very_low,504434780012544.0,504188203696128.0,504188185346048.0,0.9995111829592522,0.9995111465817447,0.00746781486713988,0.007735040765121537,0.0077350346274200465
20260719,G,9,low,1303071057510400.0,1298940762783744.0,1298940725035008.0,0.9968303380672523,0.9968303090981981,0.019291083410176164,0.019927796164120142,0.019927780497704283
20260719,G,9,mid,1.3092399777579008e+16,1.2818242519171072e+16,1.2818242552725504e+16,0.9790598161478817,0.9790598187107757,0.19382410091372373,0.1966520194168594,0.1966518710468194
20260719,G,9,high,5.253052885054259e+16,5.044363001121997e+16,5.044362907169587e+16,0.9602726474492543,0.9602726295639575,0.7776788593344954,0.7738846954710914,0.773884095150899
20260719,CG_NC,9,dc,117407705989120.0,117296899686400.0,117407864979456.0,0.9990562263201849,1.0000013541729196,0.0017381414744648159,0.0018179433675446612,0.001819660056247122
20260719,CG_NC,9,very_low,504434780012544.0,503939944415232.0,503939961192448.0,0.9990190295813868,0.9990190628408222,0.00746781486713988,0.007810387845201654,0.007810374699251016
20260719,CG_NC,9,low,1303071057510400.0,1297448349728768.0,1297448349728768.0,0.9956850336370954,0.9956850336370954,0.019291083410176164,0.020108695357057744,0.020108660841914622
20260719,CG_NC,9,mid,1.3092399777579008e+16,1.2762518539730944e+16,1.2762518573285376e+16,0.9748036079364921,0.974803610499386,0.19382410091372373,0.19780178329095044,0.19780144429832738
20260719,CG_NC,9,high,5.253052885054259e+16,4.98405529836585e+16,4.984055271522304e+16,0.9487921419078515,0.9487921367977667,0.7776788593344954,0.7724611901392455,0.7724598601042598
20260720,G,9,dc,117407705989120.0,116842196500480.0,117407760646144.0,0.9951833699170274,1.000000465531828,0.0017381414744648159,0.0018227934414560215,0.0018316003371391639
20260720,G,9,very_low,504434780012544.0,501255588282368.0,501255625506816.0,0.9936975167927617,0.9936975905871341,0.00746781486713988,0.007819823883664551,0.007819755420071881
20260720,G,9,low,1303071057510400.0,1294279527890944.0,1294279532085248.0,0.9932532231693851,0.9932532263881689,0.019291083410176164,0.020191371828932683,0.020191193616786837
20260720,G,9,mid,1.3092399777579008e+16,1.3007170480111616e+16,1.3007170312339456e+16,0.9934901699523911,0.9934901571379214,0.19382410091372373,0.20291800182779365,0.20291620756749282
20260720,G,9,high,5.253052885054259e+16,4.918107592196096e+16,4.918107645883187e+16,0.9362379743384778,0.9362379845586473,0.7776788593344954,0.7672480090181532,0.7672412430585093
20260720,CG_NC,9,dc,117407705989120.0,118272188416000.0,117407691964416.0,1.0073630808097052,0.999999880546989,0.0017381414744648159,0.001883689651233035,0.0018699467967381303
20260720,CG_NC,9,very_low,504434780012544.0,505449386344448.0,505449416228864.0,1.0020113726731508,1.00201143191652,0.00746781486713988,0.008050157784603251,0.008050269117604177
20260720,CG_NC,9,low,1303071057510400.0,1303963550875648.0,1303963563458560.0,1.000684915346791,1.0006849250031424,0.019291083410176164,0.020767880253725425,0.02076816644425296
20260720,CG_NC,9,mid,1.3092399777579008e+16,1.2986444914098176e+16,1.2986445014761472e+16,0.9919071472548309,0.9919071549435127,0.19382410091372373,0.20683165009979057,0.2068344999382926
20260720,CG_NC,9,high,5.253052885054259e+16,4.787338293438054e+16,4.787338266594509e+16,0.9113440123663643,0.9113440072562795,0.7776788593344954,0.7624666222106478,0.7624771177031121
20260721,G,9,dc,117407705989120.0,117677072187392.0,117407595954176.0,1.002294280396697,0.9999990627962357,0.0017381414744648159,0.0017535028658694956,0.0017494944227506568
20260721,G,9,very_low,504434780012544.0,504724846018560.0,504724905787392.0,1.0005750317335549,1.0005751502202938,0.00746781486713988,0.007520891262146037,0.00752092230934557
20260721,G,9,low,1303071057510400.0,1301785847267328.0,1301785838878720.0,0.9990137067079615,0.9990137002703939,0.019291083410176164,0.019397875656666598,0.019397953311496113
20260721,G,9,mid,1.3092399777579008e+16,1.2914595614162944e+16,1.2914595681271808e+16,0.9864192839787433,0.9864192891045312,0.19382410091372373,0.19244003950844918,0.1924408121369179
20260721,G,9,high,5.253052885054259e+16,5.227092854492365e+16,5.22709288133591e+16,0.9950581059947531,0.9950581111048379,0.7776788593344954,0.7788876907068687,0.7788908178194898
