folder,lag,brightness_bin,brightness_low,brightness_high,pixel_count,residual_correlation_mean,residual_correlation_max_abs
11,8,4,977.4400024414062,1064.9599609375,32824,-0.01138151470572584,0.07847877471401143
11,8,5,1064.9599609375,1203.43994140625,32774,-0.0009972045860166285,0.05145006962810793
11,8,6,1203.43994140625,1348.6400146484375,32769,-0.002938497740569978,0.04474895691673027
11,8,7,1348.6400146484375,1990.800048828125,32775,-0.0062301077923846695,0.04673451068731087
11,32,0,903.0399780273438,948.5599975585938,32603,-0.0053425347060096365,0.04076909816125284
11,32,1,948.5599975585938,955.52001953125,32801,-0.005123955513705273,0.05842011821178258
11,32,2,955.52001953125,963.2000122070312,32787,-0.0036475895964107933,0.0450311454506161
11,32,3,963.2000122070312,977.4400024414062,32811,-0.0018020630343531247,0.06262180721213467
11,32,4,977.4400024414062,1064.9599609375,32824,-0.008094720215055832,0.07806077263567167
11,32,5,1064.9599609375,1203.43994140625,32774,0.00010382879442144858,0.06334365363037776
11,32,6,1203.43994140625,1348.6400146484375,32769,-0.0011652995673180567,0.04367313401269045
11,32,7,1348.6400146484375,1990.800048828125,32775,-0.008284702907332553,0.038696636615422296
11,100,0,903.0399780273438,948.5599975585938,32603,-0.0016979610412976582,0.05761352461898197
11,100,1,948.5599975585938,955.52001953125,32801,0.0007059485894214936,0.0473818321266105
11,100,2,955.52001953125,963.2000122070312,32787,-0.006939681231381326,0.04815045611496795
11,100,3,963.2000122070312,977.4400024414062,32811,0.003373632050368333,0.05997116319709596
11,100,4,977.4400024414062,1064.9599609375,32824,-0.005041046352824852,0.08081123020699302
11,100,5,1064.9599609375,1203.43994140625,32774,-0.010685510480650992,0.06569671877415285
11,100,6,1203.43994140625,1348.6400146484375,32769,-0.0007742873108936019,0.044942526035532115
11,100,7,1348.6400146484375,1990.800048828125,32775,-0.0028449191527987216,0.04211491899769476
13,1,0,890.719970703125,927.1199951171875,32421,-0.004792517723184473,0.07606100359020752
13,1,1,927.1199951171875,930.47998046875,32309,-0.005635578798804483,0.07225376830242347
13,1,2,930.47998046875,932.8800048828125,32517,-0.0017758691813591614,0.04078330144297573
13,1,3,932.8800048828125,935.1199951171875,33320,0.009412969528149793,0.0671001235451468
