folder,lag,pair_count,residual_correlation_mean,residual_correlation_max_abs,highpass_correlation_mean,highpass_correlation_max_abs,row_correlation_mean,column_correlation_mean
9,8,24,-0.00025891269201243637,0.023447487037901244,-0.008516670982352864,0.026915747291947408,0.034181807043560726,0.37076791244122304
9,16,24,0.0007139108464327681,0.01952699427595979,-0.0057427851694956044,0.030830831138037633,0.029316625270770776,0.3484718342200779
9,32,24,-0.0009077146353304912,0.0461585576318396,-0.006116300127470997,0.04232641478677445,0.012686089293928926,0.2876313518104276
9,64,24,-0.0046322274737581855,0.0281367471945428,-0.006378831321588319,0.029095704336854083,-0.005043001728937162,0.055548153780884145
9,100,24,-0.00669087449271152,0.03135995749012053,-0.0034241465256658957,0.025811495818788284,-0.016726192869364193,-0.27103252944262396
10,1,24,-0.002433340730060917,0.021909036462630458,-0.006408208985613305,0.02412856871185325,0.01726755125648938,0.24938935939532278
10,2,24,-0.0023403595586311897,0.021500732934293897,-0.005810291158007076,0.021690025612591233,0.031099283013917834,0.22349150815323218
10,4,24,0.0010307956277323324,0.027986112119340517,-0.00209067879230375,0.02915238113122773,0.00712746394226562,0.2173961439316144
10,8,24,-0.0030090622494795527,0.022284977896275225,-0.005985208764601732,0.019616211525513273,0.021469467340878536,0.22663205472022296
10,16,24,-0.0019957873528428788,0.017638683870406072,-0.005411415268855906,0.01720653004267794,0.0016694815953172762,0.2435123659312166
10,32,24,-0.005916712164241922,0.027816270726325906,-0.008050888618184421,0.02982404034954548,0.01417520296545668,0.18194448692968734
10,64,24,-0.004545659669199145,0.02764623504445024,-0.006128062058750004,0.03212471084772939,-0.0012747952412220888,0.022344023215092077
10,100,24,-0.006810507176558852,0.02175037592520009,-0.0053038845890818415,0.021367294429798827,-0.015876172735524274,-0.14143580067439573
11,1,24,-0.0020093367361666264,0.07709066689554993,-0.005806743541401797,0.02888099708286512,0.0068796056688898224,0.06844228523254715
11,2,24,-0.004500550742499177,0.024176510624688785,-0.0071315503300551746,0.025661771727582314,0.01755935073246016,0.05777300937454321
