variant,seed,reference,folder,pair_count,positive_pair_fraction,psnr_gain,ssim,ssim_gain,gradient_ratio_to_noisy,residual_std,brightness_bias_to_reference
H-H,20260718,reference_b_even,7,8,0.0,-2.566676360458402,0.9848047085152932,-0.007481478590573326,0.7630332492341302,0.0031724950531497598,-0.002032342890743166
H-H,20260718,reference_b_even,8,8,0.0,-2.499099469502158,0.9880532543489564,-0.005540835813089881,0.7400964451575953,0.0027861114649567753,-0.001748034163028933
H-H,20260718,reference_b_even,9,8,0.0,-5.373812969299017,0.9921235496612117,-0.005238258822381006,0.48061673795419974,0.0024757359351497144,-0.0013883267529308796
H-H,20260718,reference_b_even,10,8,0.0,-8.829097056317401,0.9881973998459399,-0.010112896422758658,0.24016326576071184,0.0029543678974732757,-0.0015960646123858169
H-H,20260718,reference_b_even,11,8,0.0,-8.311950751960339,0.9916859107920579,-0.007269726416682193,0.029666126125953134,0.0023653189709875733,-0.0007327914427150972
H-H,20260718,reference_b_even,13,8,0.0,-7.277495624609133,0.9963324558065845,-0.003225222096244304,0.025258564342300237,0.00021926638328295667,0.0014051055622985587
H-L,20260716,reference_a_odd,1,8,0.0,-0.8151310608452009,0.9975777649326758,-0.0005267962941590681,0.42007890059676384,0.0013669928157469258,-0.0004055909812450409
H-L,20260716,reference_a_odd,2,8,0.0,-2.971707293539416,0.9982783033687902,-0.0011489174725329981,0.04338191869913205,0.000492319893965032,0.0008525679586455226
H-L,20260716,reference_a_odd,4,8,0.0,-0.49106394145811105,0.9952107008768505,-0.0003124925319758637,0.7378745862617262,0.0020036607165820897,-0.0008335279926541261
H-L,20260716,reference_a_odd,5,8,0.0,-0.24574618310489793,0.983146769930928,-0.0006407216366123014,0.9707540606892123,0.004637464880943298,-0.0013319140271050856
H-L,20260716,reference_a_odd,7,8,0.0,-0.6282840234569838,0.9910075666242095,-0.0012768037955869505,0.8582289786302536,0.0027362702239770442,-0.0012746077554766089
H-L,20260716,reference_a_odd,8,8,0.0,-0.6592438937619027,0.9925477503391636,-0.001042822846931038,0.8182683436624607,0.0023823333031032234,-0.0011936103110201657
H-L,20260716,reference_a_odd,9,8,0.0,-0.42087729206673075,0.9972195691237036,-0.00014069350217355003,0.6381661909719638,0.001537971940706484,-0.0004608571434800979
H-L,20260716,reference_a_odd,10,8,0.0,-1.1687454987568477,0.9977010053884879,-0.0006106443672095896,0.5006672916679141,0.001372364058624953,-0.00021848339201824274
