variant,seed,reference,pair_key,folder,psnr,psnr_gain,ssim,ssim_gain,gradient_ratio_to_noisy,residual_mean,residual_std,brightness_bias_to_reference,prediction_mean_minus_noisy_mean,removed_residual_std,noisy_psnr,noisy_ssim
P-L,20260718,reference_a_odd,folder_7_frame_141,7,51.20313475588759,0.0878934568855172,0.9924844182844649,0.00013654889986525198,0.8698261319336812,-0.0006774350767955184,0.002668592147529125,-0.0006774350767955184,-0.0006508157821372151,0.0006105125648900867,51.11524129900207,0.9923478693845996
P-L,20260718,reference_b_even,folder_7_frame_141,7,51.20699996572327,0.08893292759292848,0.9924761988000859,0.00013879307470976432,0.8698261319336812,-0.0006779134855605662,0.0026672070380300283,-0.0006779135437682271,-0.0006508157821372151,0.0006105125648900867,51.11806703813034,0.9923374057253761
P-L,20260718,reference_a_odd,folder_7_frame_151,7,51.13543724009152,0.09970800750547681,0.9924893831763572,0.00016457047121676283,0.8708248037621187,-0.000653533439617604,0.0026967169251292944,-0.000653533439617604,-0.0006536900182254612,0.0006080536404624581,51.03572923258604,0.9923248127051404
P-L,20260718,reference_b_even,folder_7_frame_151,7,51.14631132344001,0.10061095947399679,0.9924942542220591,0.00016620396430766515,0.8708248037621187,-0.0006540117901749909,0.0026930286549031734,-0.0006540118483826518,-0.0006536900182254612,0.0006080536404624581,51.04570036396601,0.9923280502577514
P-L,20260718,reference_a_odd,folder_7_frame_161,7,50.15067580912978,0.06178935487508852,0.9918347411768499,0.00012665116955867806,0.8681610298422615,-0.0006843018927611411,0.003031622851267457,-0.0006843018345534801,-0.0006418153061531484,0.0006131333066150546,50.08888645425469,0.9917080900072912
P-L,20260718,reference_b_even,folder_7_frame_161,7,50.16493865706771,0.06252260208760418,0.9918428403058752,0.0001281407046145322,0.8681610298422615,-0.0006847802433185279,0.0030262868385761976,-0.0006847802433185279,-0.0006418153061531484,0.0006131333066150546,50.102416054980104,0.9917146996012607
P-L,20260718,reference_a_odd,folder_7_frame_171,7,50.87262830084933,0.0949612237747317,0.9922699551993811,0.00015208725081206076,0.8696995297127418,-0.0006325218710117042,0.002789195626974106,-0.0006325218128040433,-0.0006485967896878719,0.0006106263026595116,50.7776670770746,0.992117867948569
P-L,20260718,reference_b_even,folder_7_frame_171,7,50.886220661597,0.09549875479848424,0.992278861675038,0.00015292497268160066,0.8696995297127418,-0.0006330001633614302,0.002784501062706113,-0.0006330002215690911,-0.0006485967896878719,0.0006106263026595116,50.79072190679852,0.9921259367023564
P-L,20260718,reference_a_odd,folder_8_frame_101,8,52.498316854871206,0.1706546045783881,0.9938848521857538,0.0001860920826777246,0.8343027573864734,-0.0005964146694168448,0.0022956226021051407,-0.0005964146694168448,-0.0006209166022017598,0.0006347488379105926,52.32766225029282,0.9936987601030761
P-L,20260718,reference_b_even,folder_8_frame_101,8,52.49825471700524,0.16324111707534428,0.993871085754189,0.00017351467270565468,0.8343027573864734,-0.0006041329470463097,0.0022936207242310047,-0.0006041330052539706,-0.0006209166022017598,0.0006347488379105926,52.335013599929894,0.9936975710814834
P-L,20260718,reference_a_odd,folder_8_frame_111,8,52.431016179642285,0.1591562451349091,0.9938305509931942,0.00017466758920547942,0.8333582988490084,-0.0006137806922197342,0.0023101347032934427,-0.0006137806340120733,-0.0006130591500550508,0.0006393333896994591,52.271859934507376,0.9936558834039887
P-L,20260718,reference_b_even,folder_8_frame_111,8,52.43040162976566,0.1516477531779472,0.9938166871976297,0.0001617558833021393,0.8333582988490084,-0.0006214989116415381,0.0023082455154508352,-0.0006214989698491991,-0.0006130591500550508,0.0006393333896994591,52.278753876587714,0.9936549313143276
P-L,20260718,reference_a_odd,folder_8_frame_121,8,52.30486153714615,0.08349509081759976,0.9937111539712212,8.268672900457741e-05,0.8303590516951082,-0.0007148256991058588,0.0023175145033746958,-0.0007148256408981979,-0.0006002798909321427,0.0006457956042140722,52.22136644632855,0.9936284672422167
P-L,20260718,reference_b_even,folder_8_frame_121,8,52.30706944392664,0.07691362061555651,0.9936999883192228,7.120758599099553e-05,0.8303590516951082,-0.0007225440349429846,0.0023144737351685762,-0.0007225439767353237,-0.0006002798909321427,0.0006457956042140722,52.23015582331109,0.9936287807332318
P-L,20260718,reference_a_odd,folder_8_frame_131,8,52.39555331679311,0.15836883127848722,0.9938146259102172,0.000187952252952428,0.833685491024499,-0.0006304745911620557,0.0023157713003456593,-0.0006304745911620557,-0.0006155688315629959,0.0006371283670887351,52.237184485514625,0.9936266736572648
P-L,20260718,reference_b_even,folder_8_frame_131,8,52.391685583973306,0.15109117830799335,0.993802000368114,0.00017551531672910237,0.833685491024499,-0.0006381929269991815,0.0023147647734731436,-0.0006381929269991815,-0.0006155688315629959,0.0006371283670887351,52.24059440566531,0.9936264850513848
P-L,20260718,reference_a_odd,folder_8_frame_141,8,52.33745847297102,0.200441089195877,0.9938223642937444,0.0002579743442390203,0.8369702314253962,-0.0005735789891332388,0.0023470991291105747,-0.0005735789891332388,-0.0006287964060902596,0.0006326820584945381,52.137017383775145,0.9935643899495054
P-L,20260718,reference_b_even,folder_8_frame_141,8,52.33922644352191,0.1929463558017801,0.9938079617309586,0.00024454450911426395,0.8369702314253962,-0.0005812973831780255,0.0023446925915777683,-0.0005812973249703646,-0.0006287964060902596,0.0006326820584945381,52.14628008772013,0.9935634172218444
P-L,20260718,reference_a_odd,folder_8_frame_151,8,52.172037469199594,0.11518202259151167,0.9937027535069562,0.00014292131304216582,0.832281419024516,-0.0006713303155265749,0.002369352849200368,-0.0006713302573189139,-0.0006170392734929919,0.0006386739551089704,52.05685544660808,0.9935598321939141
P-L,20260718,reference_b_even,folder_8_frame_151,8,52.18276835933587,0.10742541745166534,0.993700462710839,0.00012854854769006607,0.832281419024516,-0.0006790486513637006,0.0023639891296625137,-0.0006790485931560397,-0.0006170392734929919,0.0006386739551089704,52.0753429418842,0.9935719141631489
P-L,20260718,reference_a_odd,folder_8_frame_161,8,52.07211406908927,0.08956675498642852,0.9936370327760276,0.00011790133267164382,0.8315800957002965,-0.0007111767190508544,0.002387445420026779,-0.0007111768354661763,-0.0006103450432419777,0.0006412719958461821,51.98254731410284,0.9935191314433559
P-L,20260718,reference_b_even,folder_8_frame_161,8,52.08098027763519,0.0834952711732555,0.9936302418127011,0.00010634634503126073,0.8315800957002965,-0.000718895229510963,0.0023824782110750675,-0.000718895171303302,-0.0006103450432419777,0.0006412719958461821,51.997485006461936,0.9935238954676698
P-L,20260718,reference_a_odd,folder_8_frame_171,8,52.12218741785034,0.18548389530927523,0.9937206419965346,0.00024919450109850416,0.8361123707652034,-0.0005748986732214689,0.0024091536179184914,-0.0005748986732214689,-0.0006281490786932409,0.0006330752512440085,51.936703522541066,0.9934714474954361
P-L,20260718,reference_b_even,folder_8_frame_171,8,52.13708102311054,0.1790444963631046,0.9937217389973053,0.00023601273402618084,0.8361123707652034,-0.0005826169508509338,0.00240293238312006,-0.0005826170090585947,-0.0006281490786932409,0.0006330752512440085,51.958036526747435,0.9934857262632791
P-L,20260718,reference_a_odd,folder_9_frame_101,9,56.94871893233082,0.5910111937080558,0.9977080313597587,0.0003257398728059302,0.6641174929169401,-0.00015801259723957628,0.001412088517099619,-0.00015801258268766105,-0.00019992879242636263,0.0007501725340262055,56.357707738622764,0.9973822914869528
P-L,20260718,reference_b_even,folder_9_frame_101,9,56.94741714707939,0.5972707940091908,0.9977050767073539,0.00032814556004434614,0.6641174929169401,-0.00015091591922100633,0.001413078629411757,-0.0001509159483248368,-0.00019992879242636263,0.0007501725340262055,56.3501463530702,0.9973769311473095
P-L,20260718,reference_a_odd,folder_9_frame_111,9,56.950857308508446,0.5664905838904275,0.9977168266685953,0.0003161241946229021,0.6630231159876212,-0.0001690998615231365,0.001410451252013445,-0.0001690998615231365,-0.0002026508009294048,0.0007483070367015898,56.38436672461802,0.9974007024739724
P-L,20260718,reference_b_even,folder_9_frame_111,9,56.96430214720778,0.5723718224331051,0.9977219248198291,0.0003171271964876876,0.6630231159876212,-0.000162003212608397,0.0014090724289417267,-0.00016200322716031224,-0.0002026508009294048,0.0007483070367015898,56.39193032477468,0.9974047976233414
P-L,20260718,reference_a_odd,folder_9_frame_121,9,56.903586453773144,0.5828301284492596,0.9976871895554322,0.0003239790311123647,0.663800772275157,-0.0001590285392012447,0.001419423264451325,-0.00015902852464932948,-0.00020168701303191483,0.0007496124599128962,56.320756325323885,0.9973632105243199
P-L,20260718,reference_b_even,folder_9_frame_121,9,56.92421538796029,0.5920356886969742,0.9976957793612186,0.000326412087236716,0.663800772275157,-0.00015193189028650522,0.0014167928602546453,-0.00015193189028650522,-0.00020168701303191483,0.0007496124599128962,56.332179699263314,0.9973693672739818
P-L,20260718,reference_a_odd,folder_9_frame_131,9,56.80371911859431,0.5065542158785092,0.9976538316575414,0.0003026964348915584,0.6632505393422348,-0.00021675678726751357,0.0014284690842032433,-0.0002167568018194288,-0.0001731641823425889,0.000762903830036521,56.2971649027158,0.9973511352226498
P-L,20260718,reference_b_even,folder_9_frame_131,9,56.81487633077006,0.5138680456009297,0.9976577159769785,0.0003046073150685391,0.6632505393422348,-0.00020966016745660454,0.001427653362043202,-0.0002096601529046893,-0.0001731641823425889,0.000762903830036521,56.30100828516913,0.99735310866191
P-L,20260718,reference_a_odd,folder_9_frame_141,9,56.84691921401445,0.5502968950346059,0.9976692941173019,0.00031699460620726594,0.6634417316735974,-0.00018768002337310463,0.0014253497356548905,-0.00018768002337310463,-0.00018525993800722063,0.0007571488968096673,56.29662231897984,0.9973522995110946
P-L,20260718,reference_b_even,folder_9_frame_141,9,56.85767847250438,0.5565732796983625,0.9976728055941304,0.0003183271595820214,0.6634417316735974,-0.00018058337445836514,0.001424472196958959,-0.00018058338901028037,-0.00018525993800722063,0.0007571488968096673,56.30110519280602,0.9973544784345484
P-L,20260718,reference_a_odd,folder_9_frame_151,9,56.86184448204643,0.558128289270222,0.9976819578303467,0.00032046945112118586,0.6626188308388328,-0.0001841546327341348,0.001423320616595447,-0.0001841546327341348,-0.00018816917145159096,0.0007564154802821577,56.30371619277621,0.9973614883792256
P-L,20260718,reference_b_even,folder_9_frame_151,9,56.870482483548074,0.5638010397465862,0.9976838559287547,0.0003217186467824318,0.6626188308388328,-0.00017705801292322576,0.0014227834763005376,-0.00017705799837131053,-0.00018816917145159096,0.0007564154802821577,56.30668144380149,0.9973621372819723
P-L,20260718,reference_a_odd,folder_9_frame_161,9,56.83138852471588,0.5742153613280934,0.9976627185781741,0.0003289316661948538,0.6627448693045159,-0.00017515287618152797,0.0014295355649664998,-0.00017515287618152797,-0.0001897930196719244,0.0007581939571537077,56.25717316338778,0.9973337869119793
